,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
Application,revaluation,cannibalize,receive money,underevaluation,assessment,overuse,implement,give,misapplication,reassessment,technology,hold,classification,acid test,practical application,usage,practice,dedicate,exert,commit,reprocess,categorisation,overdrive,avail,recycle,employ,devote,go for,utilization,employment,consecrate,rating,waste,enjoy,critical analysis,valuation,misapply,evaluation,exploit,engineering,utilisation,use,share,fall back,resort,put to work,reuse,sorting,utilize,critical appraisal,categorization,reappraisal,pull out all the stops,ply,extend,strain,utilise,put,address,misuse,review,cannibalise,play,recur,exercise,assign,check,work,assay,tap,take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unable to pay,dearth,need,stringency,demand,lack,mineral deficiency,deficit,shortage,absence,want,unable to pay,famine,tightness,shortness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account terms and changes,development,transition,drop-off,case history,increase,destabilization,alteration,sublimation,expiry,death,separation,historical document,historical paper,deformation,nativity,biography,isomerization,damage,occurrent,life,chromosomal mutation,shift,shimmer,happening,decrease,isomerisation,deceleration,moderation,easing,record,vagary,transformation,life history,recital,mutation,historical record,ancient history,transmutation,variation,slowing,play,surprise,avulsion,conversion,sparkling,retardation,birth,acceleration,fluctuation,glycogenesis,twinkle,annals,relief,chronicle,sex change,harm,breakup,impairment,break,story,natural event,revolution,nascence,genetic mutation,etymology,nascency,life story,rectification,occurrence,scintillation,history,modification,chronological record,loss of consciousness,changeover,lessening,detachment,decease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unexpected charge,matter-of-course,unhoped-for,ill-use,unforeseen,force,unprincipled,do by,unthought,mistreat,connote,out of the blue,awaited,unanticipated,unpredicted,unheralded,unserviceable,upset,epected,ill-treat,maltreat,treat,due,surprising,evince,unepected,anticipated,kick around,step,unthought-of,unprovided for,show,express,unannounced,unlooked-for,handle,expectable,unsurprising,unhoped,hoped-for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take out,take out lease,take out loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment to account,payment to account,replacing,substitution,supersedure,pitching change,novation,supersession,supplanting,reposeesion,exchange,commutation,displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shop for a loan or lease,purchase,take over,storefront,dress shop,florist,bazar,pawnbroker's shop,pizzeria,sales outlet,loan office,clothing store,meat market,impulse-buy,dry cleaners,take out,convenience store,chain store,perfumery,get,shoe-shop,buy up,booth,fix-it shop,pick up,buy food,store,pizza shop,beauty salon,beauty parlour,second-hand store,catalog buying,building supply store,bookstore,mens store,shopfront,tobacconist,bookstall,viaticus,chemist's,ironmonger,haberdashery,bakeshop,drugstore,building supply house,millinery,bookshop,bazaar,thriftshop,pharmacy,choose,retail store,salon,mail-order buying,food shop,commissary,junk shop,specialty store,take,mercantile establishment,acquire,buy back,outfitter,shoe shop,bodega,pet shop,florist shop,pizza parlor,confectionary,betting shop,liquor store,pick out,delicatessen,deli,beauty shop,buy out,subscribe to,head shop,off-licence,computer store,purchasing,gift shop,butcher shop,ironmonger's shop,candy store,flower store,chemist's shop,hardware store,boutique,hat shop,repair shop,cleaners,select,package store,canteen,toyshop,viatication,novelty shop,shoe store,outlet,subscribe,tobacco shop,repurchase,pay,bakehouse,bakery,beauty parlor,confectionery,pawnshop,haberdashery store,shopping,apothecary's shop,tobacconist shop,barbershop
line of credit,line of credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lender damaged or destroyed vehicle,porte-cochere,quadriphonic system,archway,vomitory,approach,doorway,iPod,reproducer,quadraphonic system,door,vehicleshe,service entrance,vehicel,entryway,scuttle,threshold,access,entree,pithead,opening,room access,quadraphony,gateway,stage door,servant's entrance,hatchway,amplifier,locker,trunk lid,boom box,entry,service door,stereo system,arch,ghetto blaster,portal,entranceway,luggage,stereophonic system,footlocker,Walkman,stereophony,baggage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lender problem,host,sold property,supporter,dependent,keeping,interaction,lender,abidance,honoree,beneficiary,conformity,placement,warrantor,warrantee,inheritor,transferee,stockholder,sponsor,caller,warranter,shellpoints,mandatory,receiver,conformation,donee,loaner,consignee,provision,eye contact,bull,honoring,sendee,contrarian,heritor,borrower,precondition,bear,observance,dependant,protege,shareholder,brush,depositor,assignee,visitor,shareowner,mandatary,visitant,acquirer,possesion,proviso,line,capitalist,assumption,premise,boundary condition,alienee,addressee,cooperation,payee,condition,patron,conferee,shellpoint,heir,premiss,grantee,company,surety,formality,bondholder,annuitant,rentier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,channelisation,treatment,database management,homemaking,semiautomatic,carry off,self-acting,self-loading,conducting,succeed,empowerment,authorization,machine-controlled,direction,oversight,self-winding,machine-driven,smart,handling,misdirection,guidance,mismanagement,win,self-moving,disposal,negociate,pull off,supervising,misconduct,administration,deliver the goods,supervision,disenfranchisement,come through,bring off,steering,automated,self-activating,autoloading,finance,canalisation,canalization,bring home the bacon,self-locking,superintendence,self-regulating,channelization,mechanical,authorisation,social control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
